SessionID,Category,Grammar_Element,HighLevelObject,FileType,Total_Object_Count,Count_Converted_LOC,Count_Not_Converted_LOC,Count_Conversion_Errors,Count_Parsing_Errors
2f47804d-2f33-4406-93d0-95ed7a748ea4,Data Definition Statements,CASESPECIFIC,CREATE TABLE,SQL,3,3,0,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,Data Definition Statements,CHARACTER SET,CREATE TABLE,SQL,3,3,0,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,Data Definition Statements,CHECKSUM,CREATE TABLE,SQL,3,3,0,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,Procedure statements,CREATE / REPLACE PROCEDURE,CREATE / REPLACE PROCEDURE,SQL,3,69,0,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,Data Definition Statements,CREATE / REPLACE VIEW,CREATE / REPLACE VIEW,SQL,3,18,0,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,Data Definition Statements,CREATE SET TABLE,CREATE TABLE,SQL,3,3,0,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,Table Statements,CREATE TABLE,CREATE TABLE,SQL,3,39,0,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,Data Type,DATE,CREATE / REPLACE PROCEDURE,SQL,3,0,3,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,Data Type,DATE,CREATE TABLE,SQL,3,0,3,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,"SELECT statement syntax, options, clauses, modifiers",FROM,CREATE / REPLACE VIEW,SQL,3,3,0,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,Data Manipulation Language Statement,INSERT,CREATE / REPLACE PROCEDURE,SQL,3,42,0,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,Data Manipulation Language Statement,INSERT,INSERT,SQL,12,12,0,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,Data Type,INTEGER,CREATE / REPLACE PROCEDURE,SQL,3,3,0,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,Data Type,INTEGER,CREATE TABLE,SQL,3,3,0,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,Data Definition Statements,MERGEBLOCKRATIO,CREATE TABLE,SQL,3,3,0,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,Data Definition Statements,NO AFTER JOURNAL,CREATE TABLE,SQL,3,3,0,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,Data Definition Statements,NO BEFORE JOURNAL,CREATE TABLE,SQL,3,3,0,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,Data Definition Statements,NO FALLBACK,CREATE TABLE,SQL,3,3,0,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,Data Definition Statements,NOT NULL,CREATE TABLE,SQL,12,12,0,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,Data Definition Statements,PRIMARY INDEX,CREATE TABLE,SQL,3,0,3,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,"SELECT statement syntax, options, clauses, modifiers",SELECT,CREATE / REPLACE VIEW,SQL,3,9,0,0,0
2f47804d-2f33-4406-93d0-95ed7a748ea4,"SELECT statement syntax, options, clauses, modifiers",WHERE,CREATE / REPLACE VIEW,SQL,3,3,0,0,0
